 Date, Team, Acquired, Relinquished, Notes
2006-07-03, Bucks, , • Joe Smith, arthroscopic surgery on right knee to remove loose cartilage
2006-07-07, Raptors, , Pape Sow, surgery on neck to repair fractured vertebrae
2006-07-15, Lakers, , • Kobe Bryant, arthroscopic surgery on right knee to remove scar tissue and loose cartilage (out indefinitely)
2006-07-18, Lakers, , • Brian Cook, surgery on right thumb to repair dislocated joint (out ~8 weeks)
2006-07-19, Nets, , Josh Boone, arthroscopic surgery on left shoulder to repair tear (out 4-6 months)
2006-08-03, Celtics, , • Al Jefferson, arthroscopic surgery on right ankle
2006-08-09, Celtics, , • Paul Pierce, arthroscopic surgery on left elbow
2006-08-18, Spurs, , • (William) Tony Parker, fractured right index finger
2006-08-21, Blazers, , • LaMarcus Aldridge, surgery on right shoulder to repair torn ligament (out ~3 months)
2006-09-07, Warriors, , • Patrick O'Bryant, broken right foot (out 4-6 weeks)
2006-09-08, Grizzlies, , • Pau Gasol, surgery to repair broken foot (out ~4 months)
2006-09-21, Grizzlies, , Tarence Kinsey, broken right orbital bone (out ~4 weeks)
2006-09-21, Hawks, , • Craig Claxton / Speedy Claxton, broken left middle finger (out 5-6 weeks)
2006-10-03, Lakers, , • Phil Jackson, head coach had right hip replacement surgery
2006-10-09, Bucks, , • Andrew Bogut, sprained lower left leg (out 6-8 weeks)
2006-10-13, Nets, , • Eddie House, torn meniscus in left knee (out indefinitely)
2006-10-14, Bucks, , • Bobby Simmons, stress reaction in right heel (out 1+ month)
2006-10-16, Heat, , Michael Doleac, strained right ankle (out 1-3 weeks)
2006-10-16, Knicks, , • Jared Jeffries, broken left wrist (out 6-8 weeks)
2006-10-16, Nets, , • Eddie House, arthroscopic surgery on left knee to repair torn meniscus
2006-10-18, Heat, , • Dorell Wright, sprained left ankle (out 3 weeks)
2006-10-19, Lakers, , • Kwame Brown, right shoulder injury (out 3-4 weeks)
2006-10-19, Warriors, , • Troy Murphy, surgery on broken nose
2006-10-23, Kings, , Mike Bibby, right thumb injury (out 3+ weeks)
2006-10-24, Lakers, , • Chris Mihm, right ankle injury (out 3-4 weeks)
 Date, Team, Acquired, Relinquished, Notes
2006-10-26, Hawks, , • Marvin Williams, broken bone in left hand (out 6-8 weeks)
2006-10-27, Hornets, , • Marc Jackson, strained left hamstring (out indefinitely)
2006-10-27, Sonics, , • Robert Swift, torn ACL in right knee (out for season)
2006-10-31, Bulls, , • Tyrus Thomas, broken nose (DTD)
2006-10-31, Lakers, , • Kobe Bryant, right knee injury (DNP)
2006-10-31, Lakers, , • Shammond Williams, abdominal injury (DTD)
2006-10-31, Mavericks, , • Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga, strained tendon in left foot (out 2+ weeks)
2006-10-31, Wizards, , • Darius Songaila, surgery on herniated disc / pinched nerve in back (out ~3 months) (date approximate)
2006-11-01, Knicks, , • Malik Rose, hamstring injury (DTD)
2006-11-01, Lakers, , • Kobe Bryant, right knee injury (DNP)
2006-11-03, Knicks, • Malik Rose, , returned to lineup
2006-11-04, Knicks, , • Malik Rose, hamstring injury (DTD)
2006-11-05, Heat, , • Shaquille O'Neal, bruised left knee (DNP)
2006-11-05, Lakers, • Shammond Williams, , returned to lineup
2006-11-06, Blazers, , Joel Przybilla, abdominal injury (DTD)
2006-11-06, Bulls, , • Tyrus Thomas, broken nose (DTD)
2006-11-06, Knicks, • Malik Rose, , returned to lineup
2006-11-07, Pacers, , Sarunas Jasikevicius, sore back (DNP)
2006-11-07, Warriors, , Mickael Pietrus, sprained left ankle (DNP)
2006-11-08, Blazers, , • Brandon Roy, sore left heel (DNP) (placed on IL per CBC)
2006-11-08, Blazers, , Joel Przybilla, abdominal pain (DNP)
2006-11-08, Knicks, , Steve Francis, sprained left ankle (DNP)
2006-11-08, Nuggets, , • Kenyon Martin, right knee inflammation (DNP)
2006-11-08, Pacers, , • Jermaine O'Neal, sprained left ankle (DNP)
2006-11-09, Bulls, , • Tyrus Thomas, broken nose (DNP)
 Date, Team, Acquired, Relinquished, Notes
2006-11-09, Nuggets, , • Kenyon Martin, arthroscopic surgery on right knee to remove loose cartilage
2006-11-09, Warriors, , Ike Diogu, sprained ankle (DNP)
2006-11-10, Bobcats, , • Raymond Felton, bruised ribs (DTD)
2006-11-10, Hawks, , • Craig Claxton / Speedy Claxton, left knee injury (DTD)
2006-11-10, Knicks, , Steve Francis, sprained left ankle (DNP)
2006-11-10, Rockets, , • Bob Sura, knee injury (out indefinitely)
2006-11-11, Knicks, , Steve Francis, sprained left ankle (DNP)
2006-11-12, Blazers, , • Brandon Roy, sore left heel (out ~2 weeks)
